,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,Bachelors,2017,1.0,3,34,1,0,0,0
1,Bachelors,2013,0.5,1,28,0,0,3,1
2,Bachelors,2014,0.0,3,38,0,0,2,0
3,Masters,2016,1.0,3,27,1,0,5,1
4,Masters,2017,0.5,3,24,1,1,2,1
5,Bachelors,2016,1.0,3,22,1,0,0,0
6,Bachelors,2015,0.0,3,38,1,0,0,0
7,Bachelors,2016,1.0,3,34,0,0,2,1
8,Bachelors,2016,0.5,3,23,1,0,1,0
9,Masters,2017,0.0,2,37,1,0,2,0
10,Masters,2012,1.0,3,27,1,0,5,1
11,Bachelors,2016,0.5,3,34,1,0,3,0
12,Bachelors,2018,0.5,3,32,1,1,5,1
13,Bachelors,2016,1.0,3,39,1,0,2,0
14,Bachelors,2012,1.0,3,37,1,0,4,0
15,Bachelors,2017,1.0,1,29,1,0,3,0
16,Bachelors,2014,1.0,3,34,0,0,2,0
17,Bachelors,2014,0.5,3,34,1,0,4,0
18,Bachelors,2015,0.5,2,30,0,0,0,1
19,Bachelors,2016,0.0,2,22,0,0,0,1
20,Bachelors,2012,1.0,3,37,1,0,0,0
21,Masters,2017,0.0,2,28,1,0,4,0
22,Bachelors,2017,0.0,2,36,1,0,3,0
23,Bachelors,2015,1.0,3,27,1,1,5,0
24,Bachelors,2017,1.0,3,29,1,0,4,0
25,Bachelors,2013,1.0,3,22,0,1,0,0
26,Bachelors,2016,1.0,3,37,1,0,2,0
27,Bachelors,2015,1.0,3,23,1,0,1,0
28,Bachelors,2013,0.5,2,31,0,0,2,1
29,Masters,2017,0.0,2,30,0,0,2,0
30,PHD,2013,0.0,3,25,1,0,3,0
31,Bachelors,2014,1.0,3,23,1,0,1,0
32,Bachelors,2018,1.0,3,26,1,0,4,1
33,Bachelors,2016,1.0,3,40,1,0,5,0
34,Bachelors,2017,0.5,2,37,0,0,0,1
35,Bachelors,2014,1.0,1,30,0,0,3,0
36,Bachelors,2012,0.0,3,29,1,0,3,0
37,Bachelors,2018,0.0,2,34,0,0,0,1
38,Bachelors,2017,0.5,2,29,0,0,2,1
39,Bachelors,2014,0.5,3,30,1,1,4,0
40,Bachelors,2015,1.0,3,36,1,0,1,0
41,Masters,2017,0.0,2,23,1,0,1,0
42,Bachelors,2013,1.0,3,30,1,0,3,1
43,Bachelors,2014,1.0,3,36,1,0,0,0
44,Bachelors,2015,0.5,3,39,1,0,4,0
45,Bachelors,2014,1.0,3,23,0,0,1,0
46,PHD,2012,0.0,3,27,1,0,5,0
47,Masters,2013,0.0,3,35,1,0,2,0
48,Masters,2017,0.0,2,34,1,0,0,0
49,Bachelors,2013,1.0,3,30,0,0,1,0
50,PHD,2017,0.0,3,34,1,0,2,0
51,Bachelors,2015,0.5,2,26,0,0,4,1
52,Bachelors,2016,1.0,3,34,0,0,0,0
53,Bachelors,2014,1.0,3,31,0,1,5,0
54,Bachelors,2017,0.0,3,31,0,1,5,0
55,PHD,2013,0.0,3,28,1,0,2,0
56,Bachelors,2016,1.0,3,38,1,0,2,0
57,Masters,2014,0.5,3,39,0,0,2,0
58,Bachelors,2013,0.5,3,32,1,0,4,0
59,Masters,2017,0.5,2,36,1,0,2,1
60,Masters,2013,0.0,3,29,1,0,3,0
61,Bachelors,2015,1.0,3,30,1,0,5,0
62,PHD,2013,1.0,2,25,1,0,3,1
63,Bachelors,2014,0.5,1,22,0,0,0,1
64,Bachelors,2016,1.0,3,34,1,0,4,0
65,Bachelors,2018,1.0,3,40,1,0,1,1
66,PHD,2013,1.0,3,26,1,0,4,0
67,Bachelors,2014,0.0,3,28,1,0,0,0
68,Bachelors,2015,1.0,3,24,0,0,2,0
69,Masters,2017,1.0,3,40,0,0,2,1
70,Bachelors,2018,1.0,3,23,0,0,1,1
71,Masters,2017,1.0,3,31,1,0,4,0
72,Bachelors,2014,0.5,3,25,0,0,3,0
73,Bachelors,2014,1.0,1,27,1,0,5,0
74,Masters,2017,0.0,2,25,0,0,3,1
75,Bachelors,2015,1.0,3,40,1,0,0,1
76,Bachelors,2014,1.0,1,23,0,0,1,0
77,Bachelors,2017,1.0,3,23,0,0,1,0
78,Bachelors,2012,1.0,3,39,1,0,1,0
79,PHD,2015,0.0,1,37,1,0,1,0
80,Bachelors,2017,0.5,3,38,1,0,2,0
81,Bachelors,2013,1.0,3,31,0,0,0,1
82,Bachelors,2016,1.0,3,38,1,0,5,0
83,Bachelors,2017,1.0,3,25,0,0,3,0
